     itr, time[sec],u[m],  elec_pot[v]
         1 ,    0.00000E+00 ,    0.00000E+00 , 
         2 ,    0.10000E+01 ,    0.99505E-01 , 
         2 ,    0.20000E+01 ,    0.19804E+00 , 
         2 ,    0.30000E+01 ,    0.29563E+00 , 
         2 ,    0.40000E+01 ,    0.39230E+00 , 
         2 ,    0.50000E+01 ,    0.48809E+00 , 
         2 ,    0.60000E+01 ,    0.58301E+00 , 
         2 ,    0.70000E+01 ,    0.67708E+00 , 
         2 ,    0.80000E+01 ,    0.77033E+00 , 
         2 ,    0.90000E+01 ,    0.86278E+00 , 
         2 ,    0.10000E+02 ,    0.95445E+00 , 
         2 ,    0.11000E+02 ,    0.10454E+01 , 
         2 ,    0.12000E+02 ,    0.11355E+01 , 
         2 ,    0.13000E+02 ,    0.12250E+01 , 
         2 ,    0.14000E+02 ,    0.13137E+01 , 
         2 ,    0.15000E+02 ,    0.14018E+01 , 
         2 ,    0.16000E+02 ,    0.14891E+01 , 
         2 ,    0.17000E+02 ,    0.15758E+01 , 
         2 ,    0.18000E+02 ,    0.16619E+01 , 
         2 ,    0.19000E+02 ,    0.17473E+01 , 
         2 ,    0.20000E+02 ,    0.18322E+01 , 
         2 ,    0.21000E+02 ,    0.19164E+01 , 
         2 ,    0.22000E+02 ,    0.20000E+01 , 
         2 ,    0.23000E+02 ,    0.20830E+01 , 
         2 ,    0.24000E+02 ,    0.21655E+01 , 
         2 ,    0.25000E+02 ,    0.22474E+01 , 
         2 ,    0.26000E+02 ,    0.23288E+01 , 
         2 ,    0.27000E+02 ,    0.24097E+01 , 
         2 ,    0.28000E+02 ,    0.24900E+01 , 
         2 ,    0.29000E+02 ,    0.25698E+01 , 
         2 ,    0.30000E+02 ,    0.26491E+01 , 
         2 ,    0.31000E+02 ,    0.27279E+01 , 
         2 ,    0.32000E+02 ,    0.28062E+01 , 
         2 ,    0.33000E+02 ,    0.28841E+01 , 
         2 ,    0.34000E+02 ,    0.29615E+01 , 
         2 ,    0.35000E+02 ,    0.30384E+01 , 
         2 ,    0.36000E+02 ,    0.31149E+01 , 
         2 ,    0.37000E+02 ,    0.31909E+01 , 
         2 ,    0.38000E+02 ,    0.32665E+01 , 
         2 ,    0.39000E+02 ,    0.33417E+01 , 
         2 ,    0.40000E+02 ,    0.34164E+01 , 
         2 ,    0.41000E+02 ,    0.34907E+01 , 
         2 ,    0.42000E+02 ,    0.35647E+01 , 
         2 ,    0.43000E+02 ,    0.36382E+01 , 
         2 ,    0.44000E+02 ,    0.37113E+01 , 
         2 ,    0.45000E+02 ,    0.37840E+01 , 
         2 ,    0.46000E+02 ,    0.38564E+01 , 
         2 ,    0.47000E+02 ,    0.39284E+01 , 
         2 ,    0.48000E+02 ,    0.40000E+01 , 
         2 ,    0.49000E+02 ,    0.40712E+01 , 
         2 ,    0.50000E+02 ,    0.41421E+01 , 
         2 ,    0.51000E+02 ,    0.42127E+01 , 
         2 ,    0.52000E+02 ,    0.42829E+01 , 
         2 ,    0.53000E+02 ,    0.43527E+01 , 
         2 ,    0.54000E+02 ,    0.44222E+01 , 
         2 ,    0.55000E+02 ,    0.44914E+01 , 
         2 ,    0.56000E+02 ,    0.45602E+01 , 
         2 ,    0.57000E+02 ,    0.46287E+01 , 
         2 ,    0.58000E+02 ,    0.46969E+01 , 
         2 ,    0.59000E+02 ,    0.47648E+01 , 
         2 ,    0.60000E+02 ,    0.48324E+01 , 
         2 ,    0.61000E+02 ,    0.48997E+01 , 
         2 ,    0.62000E+02 ,    0.49666E+01 , 
         2 ,    0.63000E+02 ,    0.50333E+01 , 
         2 ,    0.64000E+02 ,    0.50997E+01 , 
         2 ,    0.65000E+02 ,    0.51658E+01 , 
         2 ,    0.66000E+02 ,    0.52315E+01 , 
         2 ,    0.67000E+02 ,    0.52971E+01 , 
         2 ,    0.68000E+02 ,    0.53623E+01 , 
         2 ,    0.69000E+02 ,    0.54272E+01 , 
         2 ,    0.70000E+02 ,    0.54919E+01 , 
         2 ,    0.71000E+02 ,    0.55563E+01 , 
         2 ,    0.72000E+02 ,    0.56205E+01 , 
         2 ,    0.73000E+02 ,    0.56844E+01 , 
         2 ,    0.74000E+02 ,    0.57480E+01 , 
         2 ,    0.75000E+02 ,    0.58114E+01 , 
         2 ,    0.76000E+02 ,    0.58745E+01 , 
         2 ,    0.77000E+02 ,    0.59374E+01 , 
         2 ,    0.78000E+02 ,    0.60000E+01 , 
         2 ,    0.79000E+02 ,    0.60624E+01 , 
         2 ,    0.80000E+02 ,    0.61245E+01 , 
         2 ,    0.81000E+02 ,    0.61864E+01 , 
         2 ,    0.82000E+02 ,    0.62481E+01 , 
         2 ,    0.83000E+02 ,    0.63095E+01 , 
         2 ,    0.84000E+02 ,    0.63707E+01 , 
         2 ,    0.85000E+02 ,    0.64317E+01 , 
         2 ,    0.86000E+02 ,    0.64924E+01 , 
